Indicators,Year ,Month,Value
Single-Family Building Permits,2011,8,59.23
Single-Family Building Permits,2011,9,47.32
Single-Family Building Permits,2011,10,52.8
Single-Family Building Permits,2011,11,54.59
Single-Family Building Permits,2011,12,55.28
Single-Family Building Permits,2012,1,52.5
Single-Family Building Permits,2012,2,51.33
Single-Family Building Permits,2012,3,52.12
Single-Family Building Permits,2012,4,46.34
Single-Family Building Permits,2012,5,53.4
Single-Family Building Permits,2012,6,54.66
Single-Family Building Permits,2012,7,50.61
Single-Family Building Permits,2012,8,57.61
Single-Family Building Permits,2012,9,65.32
Single-Family Building Permits,2012,10,55.95
Single-Family Building Permits,2012,11,72.98
Single-Family Building Permits,2012,12,67.82
Single-Family Building Permits,2013,1,82.7
Single-Family Building Permits,2013,2,75.08
Single-Family Building Permits,2013,3,61.45
Single-Family Building Permits,2013,4,71.98
Single-Family Building Permits,2013,5,73.46
Single-Family Building Permits,2013,6,79.07
Single-Family Building Permits,2013,7,76.07
Single-Family Building Permits,2013,8,70.2
Single-Family Building Permits,2013,9,64.12
Single-Family Building Permits,2013,10,77.15
Single-Family Building Permits,2013,11,61.32
Single-Family Building Permits,2013,12,81.24
Single-Family Building Permits,2014,1,60.28
Single-Family Building Permits,2014,2,59.56
Single-Family Building Permits,2014,3,58.39
Single-Family Building Permits,2014,4,61.95
Single-Family Building Permits,2014,5,56.85
Single-Family Building Permits,2014,6,58.18
Single-Family Building Permits,2014,7,40.15
Single-Family Building Permits,2014,8,69.18
Single-Family Building Permits,2014,9,68.09
Single-Family Building Permits,2014,10,73.14
Single-Family Building Permits,2014,11,57.59
Single-Family Building Permits,2014,12,60.88
Single-Family Building Permits,2015,1,64.21
Single-Family Building Permits,2015,2,69.49
Single-Family Building Permits,2015,3,77.17
Single-Family Building Permits,2015,4,68.54
Single-Family Building Permits,2015,5,55.48
Single-Family Building Permits,2015,6,66.84
Single-Family Building Permits,2015,7,77.16
Single-Family Building Permits,2015,8,65.24
Single-Family Building Permits,2015,9,70.27
Single-Family Building Permits,2015,10,69.85
Single-Family Building Permits,2015,11,74.89
Single-Family Building Permits,2015,12,68.08
Single-Family Building Permits,2016,1,64.28
Single-Family Building Permits,2016,2,70.1
Single-Family Building Permits,2016,3,73.07
Single-Family Building Permits,2016,4,72.41
Single-Family Building Permits,2016,5,79.52
Single-Family Building Permits,2016,6,71.61
